date,uptake_date,uptake_no,IHME_uptake_no,IHME_uptake_date,IMPE_uptake_no,IMPE_uptake_date,LANL_uptake_no,LANL_uptake_date,SRIV_uptake_no,SRIV_uptake_date,sdate
19-Oct-20,19-Oct-20,47,45,15-Oct-20,87,19-Oct-20,51,18-Oct-20,171,19-Oct-20,20201019
22-Oct-20,22-Oct-20,48,46,22-Oct-20,87,19-Oct-20,52,21-Oct-20,174,22-Oct-20,20201022
25-Oct-20,25-Oct-20,49,46,22-Oct-20,88,25-Oct-20,53,25-Oct-20,177,25-Oct-20,20201025
28-Oct-20,28-Oct-20,50,46,22-Oct-20,89,28-Oct-20,54,28-Oct-20,180,28-Oct-20,20201028
29-Oct-20,29-Oct-20,51,47,29-Oct-20,89,28-Oct-20,54,28-Oct-20,181,29-Oct-20,20201029
1-Nov-20,1-Nov-20,52,47,29-Oct-20,90,1-Nov-20,55,1-Nov-20,184,1-Nov-20,20201101
10-Nov-20,10-Nov-20,53,47,29-Oct-20,91,10-Nov-20,57,8-Nov-20,193,10-Nov-20,20201110
12-Nov-20,12-Nov-20,54,48,12-Nov-20,91,10-Nov-20,58,11-Nov-20,195,12-Nov-20,20201112
14-Nov-20,14-Nov-20,55,48,12-Nov-20,92,14-Nov-20,58,11-Nov-20,197,14-Nov-20,20201114
18-Nov-20,18-Nov-20,56,48,12-Nov-20,93,18-Nov-20,60,18-Nov-20,201,18-Nov-20,20201118
19-Nov-20,19-Nov-20,57,49,19-Nov-20,93,18-Nov-20,60,18-Nov-20,202,19-Nov-20,20201119
23-Nov-20,23-Nov-20,58,49,19-Nov-20,94,23-Nov-20,61,22-Nov-20,206,23-Nov-20,20201123
29-Nov-20,29-Nov-20,59,49,19-Nov-20,95,29-Nov-20,63,29-Nov-20,212,29-Nov-20,20201129
3-Dec-20,3-Dec-20,60,50,3-Dec-20,95,29-Nov-20,64,2-Dec-20,216,3-Dec-20,20201203
4-Dec-20,4-Dec-20,61,50,3-Dec-20,96,4-Dec-20,64,2-Dec-20,217,4-Dec-20,20201204
10-Dec-20,10-Dec-20,62,51,10-Dec-20,96,4-Dec-20,66,9-Dec-20,223,10-Dec-20,20201210
12-Dec-20,12-Dec-20,63,51,10-Dec-20,97,12-Dec-20,66,9-Dec-20,225,12-Dec-20,20201212
17-Dec-20,17-Dec-20,64,52,17-Dec-20,97,12-Dec-20,68,16-Dec-20,229,17-Dec-20,20201217
20-Dec-20,20-Dec-20,65,52,17-Dec-20,98,20-Dec-20,69,20-Dec-20,232,20-Dec-20,20201220
23-Dec-20,23-Dec-20,66,53,23-Dec-20,98,20-Dec-20,70,23-Dec-20,235,23-Dec-20,20201223
26-Dec-20,26-Dec-20,67,53,23-Dec-20,99,26-Dec-20,70,23-Dec-20,238,26-Dec-20,20201226
4-Jan-21,4-Jan-21,68,53,23-Dec-20,100,4-Jan-21,71,3-Jan-21,246,4-Jan-21,20210104
10-Jan-21,10-Jan-21,69,53,23-Dec-20,101,10-Jan-21,73,10-Jan-21,252,10-Jan-21,20210110
12-Jan-21,12-Jan-21,70,53,23-Dec-20,102,12-Jan-21,73,10-Jan-21,254,12-Jan-21,20210112
15-Jan-21,15-Jan-21,71,54,15-Jan-21,102,12-Jan-21,74,13-Jan-21,257,15-Jan-21,20210115
18-Jan-21,18-Jan-21,72,54,15-Jan-21,103,18-Jan-21,75,17-Jan-21,260,18-Jan-21,20210118
22-Jan-21,22-Jan-21,73,55,22-Jan-21,103,18-Jan-21,76,20-Jan-21,264,22-Jan-21,20210122
24-Jan-21,24-Jan-21,74,55,22-Jan-21,104,24-Jan-21,77,24-Jan-21,266,24-Jan-21,20210124
28-Jan-21,28-Jan-21,75,56,28-Jan-21,104,24-Jan-21,78,27-Jan-21,270,28-Jan-21,20210128
30-Jan-21,30-Jan-21,76,56,28-Jan-21,105,30-Jan-21,78,27-Jan-21,272,30-Jan-21,20210130
3-Feb-21,3-Feb-21,77,56,28-Jan-21,106,3-Feb-21,80,3-Feb-21,276,3-Feb-21,20210203
4-Feb-21,4-Feb-21,78,57,4-Feb-21,106,3-Feb-21,80,3-Feb-21,277,4-Feb-21,20210204
10-Feb-21,10-Feb-21,79,57,4-Feb-21,107,10-Feb-21,82,10-Feb-21,283,10-Feb-21,20210210
12-Feb-21,12-Feb-21,80,58,12-Feb-21,107,10-Feb-21,82,10-Feb-21,285,12-Feb-21,20210212
17-Feb-21,17-Feb-21,81,58,12-Feb-21,108,17-Feb-21,84,17-Feb-21,290,17-Feb-21,20210217
20-Feb-21,20-Feb-21,82,59,20-Feb-21,108,17-Feb-21,84,17-Feb-21,293,20-Feb-21,20210220
25-Feb-21,25-Feb-21,83,60,25-Feb-21,108,17-Feb-21,86,24-Feb-21,298,25-Feb-21,20210225
26-Feb-21,26-Feb-21,84,60,25-Feb-21,109,26-Feb-21,86,24-Feb-21,299,26-Feb-21,20210226
5-Mar-21,5-Mar-21,85,60,25-Feb-21,110,5-Mar-21,88,3-Mar-21,306,5-Mar-21,20210305
6-Mar-21,6-Mar-21,86,61,6-Mar-21,110,5-Mar-21,88,3-Mar-21,307,6-Mar-21,20210306
11-Mar-21,11-Mar-21,87,62,11-Mar-21,110,5-Mar-21,90,10-Mar-21,312,11-Mar-21,20210311
12-Mar-21,12-Mar-21,88,62,11-Mar-21,111,12-Mar-21,90,10-Mar-21,313,12-Mar-21,20210312
17-Mar-21,17-Mar-21,89,63,17-Mar-21,111,12-Mar-21,91,14-Mar-21,318,17-Mar-21,20210317
19-Mar-21,19-Mar-21,90,63,17-Mar-21,112,19-Mar-21,91,14-Mar-21,320,19-Mar-21,20210319
25-Mar-21,25-Mar-21,91,64,25-Mar-21,112,19-Mar-21,93,24-Mar-21,326,25-Mar-21,20210325
29-Mar-21,29-Mar-21,92,64,25-Mar-21,113,29-Mar-21,94,28-Mar-21,330,29-Mar-21,20210329
1-Apr-21,1-Apr-21,93,65,1-Apr-21,113,29-Mar-21,95,31-Mar-21,333,1-Apr-21,20210401
6-Apr-21,6-Apr-21,94,65,1-Apr-21,114,6-Apr-21,96,4-Apr-21,338,6-Apr-21,20210406
9-Apr-21,9-Apr-21,95,66,9-Apr-21,114,6-Apr-21,97,7-Apr-21,341,9-Apr-21,20210409
16-Apr-21,16-Apr-21,96,67,16-Apr-21,114,6-Apr-21,99,14-Apr-21,348,16-Apr-21,20210416
17-Apr-21,17-Apr-21,97,67,16-Apr-21,115,17-Apr-21,99,14-Apr-21,349,17-Apr-21,20210417
22-Apr-21,22-Apr-21,98,68,22-Apr-21,115,17-Apr-21,101,21-Apr-21,354,22-Apr-21,20210422
24-Apr-21,24-Apr-21,99,68,22-Apr-21,116,24-Apr-21,101,21-Apr-21,356,24-Apr-21,20210424
30-Apr-21,30-Apr-21,100,69,30-Apr-21,116,24-Apr-21,103,28-Apr-21,362,30-Apr-21,20210430
6-May-21,6-May-21,101,70,6-May-21,116,24-Apr-21,105,5-May-21,368,6-May-21,20210506
